TT     PID     AT     CT   IO_D      WT     RT    TRT
72     16     44     14      0       27     12     27
91     22     64      6      4       26      7     26
95     24     73      6      0       21     14     21
95      3      6     76      0       88     11     88
114      4      7     95      0      106     10    106
115     20     55     58      0       59      0     59
152     43    124     26      0       27      0     27
161     31     87     69      0       73      3     73
172     25     78     76      0       93     16     93
173     12     34     30      6      138      5    138
182     39    110     70      0       71      0     71
185     57    160     18      0       24      5     24
194     41    119     73      0       74      0     74
205     60    167     19      0       37     17     37
220     71    188     14      0       31     16     31
234     78    201     31      0       32      0     32
255     27     82     68      0      172    103    172
262     63    168     92      0       93      0     93
273     74    194     73      0       78      4     78
276     66    173    101      0      102      0    102
289     80    208     68      0       80     11     80
292    114    278     10      0       13      2     13
338    125    306     13      0       31     17     31
353    104    261     89      0       91      1     91
362    111    271     89      0       90      0     90
363    112    275     86      0       87      0     87
399    144    349     35      0       49     13     49
408    130    317     74      0       90     15     90
434    157    377     55      0       56      0     56
442    164    396     42      0       45      2     45
450    177    436     12      0       13      0     13
459    162    389     68      0       69      0     69
491    178    438     40      0       52     11     52
496    173    428     66      0       67      0     67
510    203    493     15      0       16      0     16
535    209    511     22      0       23      0     23
537      8     22    101      4      514      0    514
539    190    463     74      0       75      0     75
546    205    498     46      0       47      0     47
595    211    518     59      0       76     16     76
598    220    539     57      0       58      0     58
634    224    547     79      0       86      6     86
647    227    551     80      0       95     14     95
686    255    618     52      0       67     14     67
727     17     48     19     24      678     35    678
750    280    700     48      0       49      0     49
760    283    704     51      0       55      3     55
777    302    744     31      0       32      0     32
787    275    689     96      0       97      0     97
878    323    799     70      0       78      7     78
914    326    804     92      0      109     16    109
949    344    857     88      0       91      2     91
959    352    883     70      0       75      4     75
993    375    921     54      0       71     16     71
1007    383    940     58      0       66      7     66
1091    321    794      6     30      296      0    296
1096    432   1078     16      0       17      0     17
1097    403    992     90      0      104     13    104
1182    442   1102     69      0       79      9     79
1184    469   1162     14      0       21      6     21
1210    447   1109     87      0      100     12    100
1244    495   1224      7      0       19     11     19
1276    485   1203     65      0       72      6     72
1288    494   1220     49     10       67      0     67
1341     37    104     16      0     1236     20   1236
1344    496   1229    101      0      114     12    114
1548    249    598    103      2      949      0    949
1573    127    314     21      9     1258      0   1258
1662    415   1025     71      2      636     17    636
1790     86    227      5      0     1562   1246   1562
1846    102    253     22      6     1592      1   1592
1961    128    317      8      0     1643   1038   1643
2065    443   1102      9      5      962      0    962
2164    311    769     23      9     1394      7   1394
2239     97    239     40      5     1999     17   1999
2588    257    624      5     22     1963    255   1963
2641    393    967      8      0     1673    760   1673
2909     91    231      7      0     2677    206   2677
2950     87    228      6      4     2721   1250   2721
3136    259    634     18      5     2501      0   2501
3233    309    762     19      3     2470      0   2470
3984    465   1149      9      0     2834    488   2834
4020      2      6     40      5     4013     11   4013
4234    301    739     90      3     3494     10   3494
4342    187    461     94      6     3880     15   3880
4436    478   1187      5      0     3248   1298   3248
4469    483   1200      6      0     3268   1322   3268
4759    476   1185     62      2     3573      0   3573
4860    146    352      6     37     4507   1100   4507
4867     65    168     39      2     4698      5   4698
4980    312    772      7      0     4207   2301   4207
5011     53    148     40      4     4862      0   4862
5048     61    167      9     24     4880    153   4880
5369     34     96     26     21     5272     54   5272
5612     73    194     15     25     5417      0   5417
5732    401    982     52      5     4749      0   4749
