TT     PID     AT     CT   IO_D      WT     RT    TRT
5889    347    866      6     31     5022    309   5022
5946    317    784     15     11     5161     15   5161
6056    153    365     16      0     5690    616   5690
6598    148    353      8     14     6244    854   6244
6654    115    279     10     26     6374     12   6374
6693     92    231     20      3     6461    169   6461
6731     99    245     17      0     6485   1243   6485
6788     96    236      7     16     6551   2766   6551
6924     55    155     26      8     6768      0   6768
6938     93    235     33     26     6702     14   6702
6959    265    655     91      6     6303      4   6303
6977    106    262     40      4     6714      0   6714
7054    282    703     19      5     6350      0   6350
7183    327    807     10     30     6375   1048   6375
7327    140    341      9      1     6985    161   6985
7381     54    151     24     26     7229    151   7229
7503    206    503     11      0     6999   3298   6999
7645    471   1164      9      9     6480    851   6480
7672    459   1143     11     14     6528    484   6528
7716    455   1131     65      1     6584      0   6584
7730    350    877     66      5     6852      0   6852
7754    348    870     10      3     6883   1238   6883
7851    200    489     24      0     7361    272   7361
7932    392    964      9      5     6967   1329   6967
7949    307    757     11      6     7191    914   7191
8005    297    731     15      0     7273   1651   7273
8031    121    300     15     17     7730     17   7730
8160     23     69     31      0     8090      9   8090
8188     58    161     18      7     8026    126   8026
8245    156    376     17      4     7868    626   7868
8484    158    379      6      9     8104   2472   8104
8491     88    228     21      5     8262    167   8262
8505     84    217     23      0     8287    427   8287
9067    185    455     34      9     8611      0   8611
9142    396    969     54      9     8172      0   8172
9292     72    191     29      0     9100    158   9100
9333    449   1116     10      8     8216   2751   8216
9394    464   1148     10     30     8245   2769   8245
9396    456   1133     17      0     8262    886   8262
9561    369    906     18     10     8654    487   8654
9753     69    181     24     10     9571    241   9571
9758    213    521     24      0     9236    263   9236
9807    218    531     13     26     9275   1914   9275
9871    357    889     23      0     8981    528   8981
9891      5     11     92      6     9879      6   9879
9931    387    947     20      0     8983   1668   8983
10004    406    999      9      6     9004   1688   9004
10046    238    574     28      0     9471    482   9471
10117    124    306     57      5     9810     11   9810
10121     14     37     27      1    10083    116  10083
10213    143    345     49      7     9867     11   9867
10217     98    244     23      1     9972   1254   9972
10220     89    229     21      7     9990   1254   9990
10497     13     36     41     11    10460     20  10460
10640    201    489     19     23    10150    277  10150
10755    267    661     18      0    10093   2900  10093
10790    181    446     20      5    10343    480  10343
10805     19     50     47      3    10754     31  10754
10830    444   1102     18      2     9727    803   9727
10959    299    731     12     20    10227   3055  10227
11041    452   1122     11     30     9918   2755   9918
11182    355    887     23      0    10294   1231  10294
11261    365    904     17      3    10356   1294  10356
11399    279    698     19      4    10700   1661  10700
11414    293    727     24      0    10686   1645  10686
11691    175    430     22      1    11260    489  11260
11693     26     82     41      3    11610     90  11610
11978     83    212     28      7    11765    401  11765
12171    231    560     26      0    11610   1002  11610
12228    189    463     18     27    11764    483  11764
12361    134    328     22      1    12032    375  12032
12763    466   1154     27      9    11608    488  11608
12855    360    893     27      0    11961   1280  11961
12885    370    910     25      0    11974   1293  11974
12917    378    928     21      2    11988   1325  11988
12934    384    941     25      0    11992   1337  11992
12943    391    961     23      5    11981   1327  11981
12966    416   1029    102      3    11936     14  11936
12975    248    596     44     10    12378     15  12378
13090    221    543     18     12    12546   1912  12546
13274    407   1003     28      0    12270   1688  12270
13282    409   1012     22      4    12269   1688  12269
13307    373    914     30     32    12392      0  12392
13379    341    852     22     26    12526    429  12526
13451    169    418     18     13    13032   2471  13032
13556    260    638     26     10    12917    464  12917
13574    254    613     28     29    12960     12  12960
13796    422   1048     19     13    12747   2320  12747
13910    250    600     22     13    13309   2882  13309
13986    266    659     18     34    13326   2898  13326
14023    122    303     37     24    13719      5  13719
14088    291    721     22      1    13366   2994  13366
14134    215    529     29     34    13604     16  13604
14302    468   1160     33      0    13141    487  13141
14388    364    902     27     25    13485    476  13485
14399    371    911     26     13    13487    487  13487
14442    199    486     35     10    13955    270  13955
14517     28     83     45     10    14433     31  14433
14529    117    287     29     30    14241    200  14241
14785    335    840     78      3    13944      0  13944
14935     11     30     44     30    14904      0  14904
14954    154    370     37      9    14583    621  14583
14956    170    422     21     15    14533   2477  14533
15115    229    555     34      0    14559    271  14559
15127    230    560     25     14    14566    271  14566
15148    324    799     30      6    14348   1051  14348
15232    329    815     27     12    14416    718  14416
15286    424   1051     27     10    14234   2326  14234
15310    423   1049     23     21    14260   2323  14260
15341    303    746     29     18    14594    221  14594
15839    366    904     35     10    14934    484  14934
16085    480   1195     30      5    14889   1312  14889
16368    244    583     27     13    15784   2249  15784
16438    374    916     51      1    15521      5  15521
16669    233    562     28     18    16106   2766  16106
16698    429   1069     31      3    15628   2333  15628
16703    426   1058     32      6    15644   2329  15644
16870     75    197     40      4    16672    157  16672
16885     21     60     67     10    16824     11  16824
16899    191    464     31      9    16434   1128  16434
16982    287    708     30      5    16273   3048  16273
17020    285    708     26     31    16311   3038  16311
17059     29     83     55     10    16975     12  16975
17073    119    291     55     27    16781      4  16781
17176    145    351     37      0    16824    851  16824
17285    372    912     31     15    16372   1296  16372
17361    202    490     40      3    16870    281  16870
17363    204    493     41      7    16869    283  16869
17386    281    700     34      8    16685   1662  16685
17741    165    401     31      7    17339   2466  17339
17834    418   1036     38      0    16797   1995  16797
18002    105    261     48      0    17740    191  17740
18020    273    682     40     22    17337    206  17337
18030    179    440     40     17    17589    244  17589
18075    425   1056     33      5    17018   2326  17018
18314    290    717     38      0    17596   2993  17596
18379    212    520     43      0    17858   1445  17858
18414    404    996     85      2    17417      0  17417
18422    412   1015     65      9    17406      0  17406
18451    462   1148     35      2    17302   2764  17302
18454    242    577     34     12    17876    499  17876
18457    236    568     34     34    17888    479  17888
18494    446   1105     32     30    17388   2829  17388
18502      7     21     54      0    18480    137  18480
18519    149    358     41      3    18160    853  18160
18533    150    360     43      9    18172    856  18172
18613    368    904     38      2    17708   1289  17708
18678    308    758     40     11    17919    918  17919
18686     49    136     46      3    18549    391  18549
18775    479   1190     39      8    17584   1300  17584
18792    448   1112     96      1    17679      0  17679
18806    487   1205     39      3    17600   1327  17600
18826    118    290     46     16    18535      0  18535
18845    186    457     41     14    18387    207  18387
18908     62    168     60      3    18739      0  18739
18966    486   1205     42      0    17760   1559  17760
19009    159    381     44      0    18627   2474  18627
19036    168    413     38      1    18622   2472  18622
19105      9     25     47      4    19079    143  19079
19202    320    791     33     12    18410   2344  18410
19205    228    553     46      0    18651    268  18651
19259    338    848     47      0    18410    447  18410
19311    332    829     44      4    18481    728  18481
19398    440   1093     41      2    18304    802  18304
19467    129    317     47      0    19149    414  19149
19515    109    268     55     21    19246      0  19246
19519    210    514     43      4    19004   1068  19004
19538    500   1237     47      0    18300    698  18300
19545     64    168     53      0    19376    156  19376
19552      1      6     58      1    19545     11  19545
19606    286    708     38     26    18897   3053  18897
19794    367    904     42     26    18889    479  18889
19925     68    179     56      0    19745    238  19745
20097     15     39     57      8    20057    139  20057
20161    492   1215     48      0    18945   1569  18945
20183    472   1167    102      2    19015     16  19015
20279    351    882     49      0    19396    208  19396
20444    184    451     50      4    19992    453  19992
20471    107    264     91      4    20206     88  20206
20584    133    325     47      5    20258    373  20258
20681     46    130     51      4    20550    140  20550
20688    294    727     45      0    19960   2993  19960
20757    141    341     53      7    20415    205  20415
20779    453   1125     41      4    19653   2767  19653
20973    305    753     50      0    20219   1555  20219
20997    276    693     47     16    20303   1014  20303
21009    314    775     45      1    20233   1626  20233
21138    385    942     51      0    20195   1668  20195
21218    239    576     57      0    20641    485  20641
21266    497   1229     42     18    20036   1565  20036
21269    499   1236     42     27    20032   1566  20032
21274    166    404     48      4    20869   2468  20869
21410     85    222     53      4    21187    402  21187
21454     44    124     67      4    21329    183  21329
21570    328    810     55      0    20759   1050  20759
21577    101    250     57      7    21326    160  21326
21614    139    340     52     25    21273     15  21273
21632    252    609     46     26    21022   2888  21022
21636    113    276     55     19    21359      0  21359
21848    457   1135     55      0    20712    889  20712
21994    381    935     53      0    21058   1328  21058
22002    382    938     50      9    21063   1330  21063
22116    484   1200     55      0    20915   1327  20915
22135    108    266     62     22    21868      9  21868
22189    394    969     53     11    21219    763  21219
22433    264    652     61      3    21780      0  21780
22458    330    820     54      0    21637   2392  21637
22525    234    563     49      2    21961   2775  21961
22550    430   1072     56      0    21477   2335  21477
22554    428   1065     48     24    21488   2332  21488
22571    431   1073     45     26    21497   2339  21497
22685    195    476     65      0    22208    849  22208
22698     45    128     66      6    22569     75  22569
22708    196    480     60      0    22227    266  22227
22723    289    713     56      0    22009   3053  22009
22819    319    787     73     14    22031     17  22031
22971    386    947     50     27    22023   1336  22023
22980    470   1163     55     24    21816    489  21816
23024    222    545     55      9    22478   1915  22478
23058    433   1079     83      6    21978     17  21978
23076     81    208     70      2    22867    431  22867
23110    278    697     59      1    22412   1015  22412
23220    243    579     53     27    22640    692  22640
23222    167    409     53      8    22812   2471  22812
23384     59    164     77      0    23219    128  23219
23466    421   1046     53      2    22419   2317  22419
23519    256    620     59      0    22898   2887  22898
23557    269    666     58      0    22890   2910  22890
23635    298    731     54      2    22903   3050  22903
23662     30     84     88      8    23577      0  23577
23674    450   1118     57      0    22555   2754  22555
23686    460   1143     53     10    22542   2759  22542
23737     52    145     55     37    23591   1039  23591
23749    473   1172     57      6    22576    925  22576
23761    474   1176     57      7    22584    927  22584
23779    356    889     62     10    22889    523  22889
23800    362    894     57      3    22905   1289  22905
23846    277    693     61      6    23152   1010  23152
23979     90    231    103      8    23747      2  23747
23986    395    969     59     22    23016    768  23016
24037    131    320     78     28    23716     17  23716
24074    110    271     71     23    23802     11  23802
24089     18     50     72      0    24038     38  24038
24094    160    384     56     23    23709   2476  23709
24106     94    235     61      0    23870   2757  23870
24136    420   1042     62      0    23093   1999  23093
24158    316    780     57      1    23377   2303  23377
24236    334    837     54     26    23398   2395  23398
24348    135    328     64      8    24019    380  24019
24396    142    343     68      0    24052    169  24052
24415    123    304     67      8    24110   1036  24110
24419    197    480     63      4    23938    261  23938
24491    454   1127     60     10    23363   2770  23363
24596    247    591     88      7    24004      3  24004
24604    377    926     62      9    23677   1317  23677
24667    235    563     61      9    24103   1907  24103
24691    481   1195     68      0    23495   1317  23495
24723    398    972     65      0    23750   1628  23750
24750     36    102     74      8    24647     13  24647
24786    241    576     76      0    24209    495  24209
24882     79    203     68     24    24678    163  24678
24919    318    784     62      8    24134   2319  24134
25043    439   1089     68      7    23953    780  23953
25061    438   1089     66     10    23971    801  23971
25177    207    506     60     12    24670   3300  24670
25249    414   1023     71      4    24225    203  24225
25312    322    797     73     35    24514      1  24514
25379     51    140     71      0    25238   2335  25238
25393    488   1206     69      0    24186   1331  24186
25397    482   1197     63     29    24199   1320  24199
25436    400    979     69     10    24456    763  24456
25450    408   1008     63      8    24441   1688  24441
25502     82    212     72     19    25289    158  25289
25504    245    585     65      3    24918   2261  24918
25545    116    283     90     39    25261     13  25261
25594    226    550     73      0    25043    264  25043
25602    310    765     88     15    24836     13  24836
25619    333    834     72      0    24784   2388  24784
25673    246    589     67      8    25083   2754  25083
25693    427   1060     64     35    24632   2330  24632
25744    137    332     67     17    25411    386  25411
25767    136    332     70      5    25434    160  25434
25772    192    466     76      0    25305   1131  25305
25795    288    708     66      3    25086   3043  25086
25866    463   1148     77      0    24717    484  24717
25919    359    893     70      7    25025   1275  25025
25937    376    924     74      0    25012   1314  25012
25952    306    754     71      2    25197   1559  25197
25966    216    529     72      3    25436   1882  25436
26006    217    529     72      7    25476    607  25476
26016     32     92     88      0    25923    153  25923
26064    410   1012     67      9    25051   1693  25051
26088    489   1207     75      0    24880   1562  24880
26097    493   1218     75      0    24878   1571  24878
26142    103    257     80     20    25884    190  25884
26236    272    678     83      0    25557    205  25557
26265    232    562     75      0    25702   2771  25702
26285    434   1083     80      0    25201    797  25201
26290    437   1088     80      0    25201    797  25201
26341    271    673     69      7    25667   2913  25667
26358    284    707     69     10    25650   3034  25650
26362    198    484     71     22    25877    267  25877
26367    292    723     76      0    25643   3053  25643
26399    451   1122     69      7    25276   2760  25276
26466    353    887     81      0    25578    520  25578
26468    354    887     69     29    25580   1236  25580
26473    358    892     76      8    25580   1271  25580
26493    379    930     76      1    25562   1328  25562
26514     42    122     75     23    26391    439  26391
26526     67    174     77     31    26351    238  26351
26553    147    352     77      7    26200   1104  26200
26555    155    373     77      8    26181    623  26181
26627    174    428     73      4    26198   2485  26198
26664    258    629     81      0    26034    468  26034
26722    337    846     80      0    25875   2391  25875
26740    183    450     86      0    26289    449  26289
26745    180    445     76     19    26299    449  26299
26755    331    825     84      0    25929    722  25929
26807    171    426     83     12    26380     15  26380
26870    461   1143     78      0    25726   2764  25726
26892    445   1105     73     30    25786    905  25786
26912    151    360     80     18    26551    861  26551
26924    194    475     85      6    26448    261  26448
26937    363    897     82      0    26039   1291  26039
26944    343    855     80     32    26088      0  26088
26965    223    545     81      0    26419   1920  26419
26982    152    361     77     21    26620   1100  26620
27000    389    956     78     12    26043    761  26043
27023    237    572     86      5    26450    479  26450
27050    100    245     85      0    26804   1522  26804
27054    161    389     83      0    26664   2588  26664
27087    313    772     80      3    26314   2306  26314
27139    339    850     85      0    26288    450  26288
27247    138    336     88      6    26910    205  26910
27292    475   1180     88      0    26111    884  26111
27300    172    428     86     22    26871    486  26871
27356    399    976     79     17    26379   1629  26379
27374    413   1019     82      3    26354   1705  26354
27389    491   1214     84      1    26174   1565  26174
27406    163    391     81      2    27014   2591  27014
27409      6     16     91     24    27392      1  27392
27419     10     30     92      6    27388    143  27388
27428    304    748     83     12    26679    224  26679
27464     40    115     92     10    27348    150  27348
27481    274    687     91      5    26793      0  26793
27511    436   1088     83     27    26422    777  26422
27513    253    612     81      9    26900   2890  26900
27533    270    670     88      0    26862   2911  26862
27543    193    471     96      0    27071   1131  27071
27545    498   1233     85      6    26311    697  26311
27554    132    320     83      6    27233   3471  27233
27588    120    295     99      0    27292   1035  27292
27592    458   1138     95      0    26453    484  26453
27594     50    140    102     23    27453      0  27453
27602    349    874     90      0    26727   1239  26727
27607    188    463     96      4    27143    487  27143
27620    295    727     82      3    26892   1650  26892
27635     70    186    100      0    27448    241  27448
27665    402    987     88      9    26677   1678  26677
27670    405    997     92      0    26672   1685  26672
27672    411   1013     81     36    26658   1697  26658
27684    340    850     85     20    26833    426  26833
27688     76    197     87     24    27490    235  27490
27695    419   1038     85      7    26656   1998  26656
27702     56    160     89     25    27541    122  27541
27716    225    550     95      0    27165    259  27165
27720     33     93     99      0    27626   1409  27626
27741    435   1083     91      0    26657   2338  26657
27746    380    935     99     18    26810      0  26810
27756    441   1098     89      5    26657    802  26657
27791     38    109    100      0    27681     25  27681
27798    182    448    101      0    27349    483  27349
27816    467   1157     86      4    26658   2851  26658
27828    300    734     89      1    27093   1653  27093
27843    219    535     88     31    27307   1915  27307
27852    390    957     95      9    26894    765  26894
27855    388    952     86     17    26902   1668  26902
27864    490   1210     91     20    26653   1564  26653
27875     35    101    103     24    27773      9  27773
27879    263    647     95     16    27231      0  27231
27886     77    197     93     38    27688    644  27688
27936    296    730     88     31    27205   2996  27205
27941     48    133    104      8    27807     75  27807
27949    345    860     94      2    27088    305  27088
27952    346    865     98      0    27086    305  27086
27972    214    525     96     27    27446   1915  27446
27981    240    576    103      5    27404    490  27404
27983    315    780     97      0    27202   2308  27202
27995    342    852     98      5    27142    453  27142
28024    126    310    103      0    27713    416  27713
28047    397    969    102      0    27077   1334  27077
28050     47    130    102      6    27919    436  27919
28069    336    841     99     15    27227    450  27227
28077    251    604     98      8    27472   2883  27472
28079    262    646     97     11    27432    470  27432
28086    268    665     97      2    27420   2901  27420
28090    176    433    103      6    27656    488  27656
28092    208    510     93     30    27581   3301  27581
28102    477   1186    104     10    26915   1294  26915
28106     95    235    103      7    27870   2762  27870
28111    325    802    100     21    27308   2343  27308
28113    417   1032    101      8    27080   2321  27080
28115    261    643    101     24    27471   2869  27471
28120    361    894    104     11    27225   1284  27225
Processes: 500
Avg WT = 16061.3,   Avg RT = 903.572,   Avg TRT = 16061.3
Migration %:      RTF =2% ,      MaxW = 435.4%
OverHeat %: 0%
Work Steal %: 341%
Forked Process %: 0%
Killed Process %: 0%
Temination Before DeadLine %: 0%
Processors: 14 [4 FCFS, 5 SJF, 1 RR, 4 EDF]
Processors Load
p1=0.0117178%,  p2=0.0149306%,  p3=0.0150302%,  p4=0.0141212%,  p5=0.00407198%,  p6=0.00159392%,  p7=0.00148185%,  p8=0.00168109%,  p9=0.00110827%,  p10=0.274342%,  p11=0%,  p12=0%,  p13=0%,  p14=0%
Processor Utiliz
p1=3.34649%,  p2=4.26402%,  p3=4.29247%,  p4=4.03286%,  p5=1.16291%,  p6=0.455208%,  p7=0.423201%,  p8=0.480102%,  p9=0.316512%,  p10=78.3492%,  p11=0%,  p12=0%,  p13=0%,  p14=0%,  
Avg utilization = 6.93735%
