TT     PID     AT     CT   IO_D      WT     RT    TRT
38      5     12     19      0       25      5     25
69     11     28     39      0       40      0     40
78      8     20     47      0       57      9     57
84     10     26     25      0       57      1     57
89     18     48     29      0       40     10     40
101     29     86      6      0       14      7     14
126     34     98     15      0       27     11     27
144     40    108     34      0       35      0     35
157     41    113     30      0       43     12     43
168     30     87     66      0       80     13     80
183     54    154     14      0       28     13     28
187     61    171     14      0       15      0     15
225     58    163     60      0       61      0     61
234     42    116      7      0      117    109    117
252     20     54      7      0      197    189    197
271     91    249      9      0       21     11     21
297      6     12     24      9      284      5    284
298     76    210     78      0       87      8     87
343    105    287     54      0       55      0     55
350    103    281     54      0       68     13     68
357    112    312     43      0       44      0     44
368    128    339     17      0       28     10     28
393    140    372     19      0       20      0     20
404    152    396      6      0        7      0      7
463     14     39     31      0      423     16    423
502    146    383    104      0      118     13    118
534    201    526      6      0        7      0      7
543    192    504     37      0       38      0     38
602    196    513     87      0       88      0     88
630    202    530     95      0       99      3     99
635    222    585     35      0       49     13     49
692    253    670     20      0       21      0     21
700    243    637     54      0       62      7     62
739    263    694     35      0       44      8     44
755    251    662     89      0       92      2     92
778    278    744     32      0       33      0     33
798    292    771     19      0       26      6     26
821    183    474     46     10      346      0    346
833     56    158      6      0      674    667    674
845    287    756     87      0       88      0     88
873    310    818     43      0       54     10     54
899    311    822     75      0       76      0     76
952    348    921     18      0       30     11     30
1022    356    939     81      0       82      0     82
1036    380    984     50      0       51      0     51
1097    418   1068     27      0       28      0     28
1134    435   1101     29      0       32      2     32
1164    416   1060     91      0      103     11    103
1175    445   1129     31      0       45     13     45
1228    460   1171     55      0       56      0     56
1273     77    211      9      8     1061    191   1061
1302    497   1269     31      0       32      0     32
1306     94    255     15      1     1050    197   1050
1329    476   1220     96      0      108     11    108
1385    509   1301     74      0       83      8     83
1440    362    953     81      9      486      0    486
1451    526   1340     96      0      110     13    110
1481    563   1431     41      0       49      7     49
1486    553   1404     80      0       81      0     81
1524    575   1457     53      0       66     12     66
1632    604   1517    101      0      114     12    114
1643    640   1619     22      0       23      0     23
1653    555   1407      7      0      245    237    245
1689    629   1598     89      0       90      0     90
1703    504   1282     26      6      420      0    420
